CityID;Temperature;Humidity;WindSpeed;WeatherCondition;Predic
1316;13.30459836;45.13669334;10.43947636;Cloudy;0
8812;17.71426551;30.72151031;13.80425477;Sunny;0
7596;34.06525664;21.69092812;26.38465047;Sunny;0
7856;9.052133955;39.61164918;17.39829595;Cloudy;0
9794;29.93003743;21.51641337;22.44511234;Rainy;1
3796;19.16679333;36.4388247;29.95688127;Sunny;0
5904;27.52840316;89.58884984;12.40331167;Sunny;0
3678;-1.06177738;74.55144822;27.46554663;Cloudy;0
1411;25.64272547;87.00685509;20.65973044;Cloudy;0
2759;8.27866405;91.85766932;19.47620039;Rainy;1
8651;8.153024931;93.5550429;26.23588184;Sunny;0
2209;14.18101549;62.12328126;15.91839579;Rainy;1
3938;14.54145365;44.79238961;11.87180683;Sunny;0
9861;16.82974219;90.53800826;15.29901377;Sunny;0
5097;-3.298616805;23.1430482;9.320175333;Cloudy;0
1478;-7.320215949;46.15197141;7.102019118;Rainy;1
9187;0.439754679;37.33971587;27.44821818;Cloudy;0
8150;17.49444118;41.71435559;1.025823754;Sunny;0
2645;25.03937441;47.60851105;19.78650973;Rainy;1
9784;20.76915059;83.41335404;1.355011404;Rainy;1
8736;31.1762422;27.51560446;4.760950665;Cloudy;0
5957;-9.020806761;85.36575439;20.21245459;Sunny;0
7910;20.22736214;65.9139454;1.037224515;Snowy;0
9618;22.69174724;49.24235792;3.554483473;Cloudy;0
4246;28.07890534;99.68510208;21.00797648;Rainy;1
1479;32.90612903;54.89148693;1.677662111;Rainy;1
2531;9.633102517;60.97247462;1.018860803;Cloudy;0
2513;14.75128415;95.66195437;4.287005835;Snowy;0
3976;-8.911146456;36.02851107;27.87065827;Cloudy;0
9132;-0.155259284;12.95995467;27.92429501;Snowy;0
3587;-4.007118043;89.22300506;4.578854346;Rainy;1
7242;-0.021550381;95.34581825;6.934617154;Sunny;0
4566;39.59703796;63.11106029;20.11082203;Rainy;1
8492;34.77819854;24.83824205;17.94526709;Sunny;0
1453;9.811297655;47.44658658;7.5616479;Rainy;1
2693;29.24988113;50.84136048;18.56511874;Sunny;0
4347;12.43627022;20.44819517;11.10613094;Sunny;0
1838;24.2265042;32.62108314;13.75888594;Cloudy;0
6068;7.312541622;96.35377992;23.14808073;Snowy;0
3496;13.25651614;96.8027852;7.18248501;Rainy;1
3860;34.92933419;58.11757512;14.96567249;Snowy;0
6121;25.45712303;51.71099146;27.30955198;Rainy;1
4281;38.23342538;58.17292947;17.30019731;Rainy;1
4806;23.87542949;21.32187963;9.571784928;Sunny;0
9657;27.97076972;67.74361554;1.307042351;Sunny;0
2783;27.28511594;87.83247649;1.686845639;Sunny;0
4824;-0.9840842;45.31987855;29.86530682;Cloudy;0
9436;-8.262497676;24.79477889;8.216692979;Rainy;1
7829;36.98282889;75.94829905;6.780014124;Rainy;1
3262;-8.200387651;15.17143889;18.49662982;Snowy;0
9463;2.453188744;50.66964291;11.88289571;Rainy;1
7407;37.67973209;92.93558855;27.76736071;Rainy;1
1512;28.25297644;17.27411084;11.41949999;Snowy;0
9066;1.084048221;85.04632107;6.247254744;Snowy;0
2022;19.72888635;46.90588498;23.87665356;Snowy;0
6681;12.84728163;25.60012029;3.148119447;Sunny;0
8890;5.291631299;49.65332266;12.27106552;Snowy;0
1312;-8.106307195;38.87246956;4.500262399;Rainy;1
9147;0.35316878;28.72931019;22.05581204;Rainy;1
7461;12.40546574;91.32205151;3.3795599;Sunny;0
5943;27.64733704;45.36386191;15.58509317;Cloudy;0
2798;9.705451469;34.91255611;25.95882204;Cloudy;0
5876;-6.120856054;53.9803258;19.36013578;Rainy;1
5628;-0.42580008;12.12932176;12.02006406;Cloudy;0
4467;27.83639818;19.85459091;24.79764034;Sunny;0
4546;38.4707007;28.28551811;21.06211091;Sunny;0
3447;4.598522245;93.73097398;9.127394171;Cloudy;0
6906;20.27703533;90.51736502;17.96196538;Sunny;0
3680;24.04010468;65.14701638;3.127749436;Cloudy;0
8006;-5.633718133;70.34696156;13.81610325;Cloudy;0
2196;37.86461127;18.58316143;22.28150301;Snowy;0
9142;19.54119109;29.75461382;3.185507518;Snowy;0
8956;16.96031343;84.98031714;12.43394221;Cloudy;0
3194;17.06086007;97.35475693;24.02822945;Snowy;0
4647;-7.824230638;73.61589147;2.555755086;Cloudy;0
1224;19.08103327;56.71611563;17.43152467;Sunny;0
3899;-4.765743244;15.61895618;19.7907822;Sunny;0
1055;11.49078174;11.47916515;25.65999889;Cloudy;0
6241;-5.542108044;81.96148248;18.94544807;Snowy;0
4100;1.084528052;30.492784;9.720104617;Cloudy;0
3801;9.929694713;36.94738869;5.965134918;Cloudy;0
5441;4.653120039;31.65324024;1.706009357;Snowy;0
5865;18.70525952;19.84169502;20.52467751;Snowy;0
1959;14.86286156;85.24992475;18.26001783;Rainy;1
